,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
63,Dalvin Cook,RB,NYJ,0,0,0,0,0,3,3,26,0,33,13,0,8.899999999999999
64,Dameon Pierce,RB,HOU,0,0,0,0,0,2,3,9,0,38,11,0,6.699999999999999
65,Damien Harris,RB,BUF,0,0,0,0,0,2,2,16,0,3,1,0,3.9
66,Daniel Jones,QB,NYG,104,0,2,28,15,0,0,0,0,43,13,0,4.46
67,Darius Slayton,WR,NYG,0,0,0,0,0,3,5,15,0,0,0,0,4.5
68,Darnell Mooney,WR,CHI,0,0,0,0,0,4,7,53,1,0,0,0,15.3
69,Darren Waller,TE,NYG,0,0,0,0,0,3,5,36,0,0,0,0,6.6
70,Davante Adams,WR,LVR,0,0,0,0,0,6,9,66,0,0,0,0,12.6
71,David Montgomery,RB,DET,0,0,0,0,0,0,0,0,0,74,21,1,13.4
72,David Njoku,TE,CLE,0,0,0,0,0,2,3,24,0,0,0,0,4.4
73,Dawson Knox,TE,BUF,0,0,0,0,0,3,4,25,0,0,0,0,5.5
74,DeAndre Carter,WR,LVR,0,0,0,0,0,1,1,5,0,0,0,0,1.5
75,DeAndre Hopkins,WR,TEN,0,0,0,0,0,7,13,65,0,0,0,0,13.5
76,DeVonta Smith,WR,PHI,0,0,0,0,0,7,10,47,1,0,0,0,17.7
77,DeeJay Dallas,RB,SEA,0,0,0,0,0,1,1,14,0,4,2,0,2.8
78,Deebo Samuel,WR,SFO,0,0,0,0,0,5,7,55,0,8,2,0,11.3
79,Demario Douglas,WR,NWE,0,0,0,0,0,4,7,40,0,0,0,0,8.0
80,Deon Jackson,RB,IND,0,0,0,0,0,5,6,14,0,14,13,0,7.800000000000001
81,Deonte Harty,WR,BUF,0,0,0,0,0,3,4,9,0,4,1,0,4.3
82,Derek Carr,QB,NOR,305,1,1,33,23,0,0,0,0,4,3,0,14.6
83,Derius Davis,WR,LAC,0,0,0,0,0,1,1,5,0,0,0,0,1.5
84,Derrick Henry,RB,TEN,0,0,0,0,0,2,3,56,0,63,15,0,13.899999999999999
85,Deshaun Watson,QB,CLE,154,1,1,29,16,0,0,0,0,45,5,1,18.66
86,Desmond Ridder,QB,ATL,115,1,0,18,15,0,0,0,0,-1,1,0,8.5
87,Deuce Vaughn,RB,DAL,0,0,0,0,0,0,0,0,0,8,6,0,0.8
88,Deven Thompkins,WR,TAM,0,0,0,0,0,2,3,10,0,0,0,0,3.0
89,Devin Singletary,RB,HOU,0,0,0,0,0,0,0,0,0,15,7,0,1.5
90,Diontae Johnson,WR,PIT,0,0,0,0,0,3,6,48,0,0,0,0,7.8
91,Donald Parham,TE,LAC,0,0,0,0,0,3,3,22,1,0,0,0,11.2
92,Donovan Peoples-Jones,WR,CLE,0,0,0,0,0,1,2,12,0,0,0,0,2.2
93,Durham Smythe,TE,MIA,0,0,0,0,0,3,7,44,0,0,0,0,7.4
94,Elijah Mitchell,RB,SFO,0,0,0,0,0,0,0,0,0,10,5,0,1.0
95,Elijah Moore,WR,CLE,0,0,0,0,0,3,7,43,0,19,2,0,9.2
96,Erik Ezukanma,WR,MIA,0,0,0,0,0,0,0,0,0,17,2,0,1.7
97,Evan Engram,TE,JAX,0,0,0,0,0,5,5,49,0,0,0,0,9.9
98,Evan Hull,RB,IND,0,0,0,0,0,1,1,6,0,1,1,0,1.7000000000000002
99,Ezekiel Elliott,RB,NWE,0,0,0,0,0,5,7,14,0,29,7,0,9.3
100,Gabriel Davis,WR,BUF,0,0,0,0,0,2,4,32,0,0,0,0,5.2
101,Gardner Minshew II,QB,IND,0,0,0,2,0,0,0,0,0,0,0,0,0.0
102,Garrett Wilson,WR,NYJ,0,0,0,0,0,5,5,34,1,0,0,0,14.4
103,Gary Brightwell,RB,NYG,0,0,0,0,0,2,2,6,0,5,1,0,3.1
104,Geno Smith,QB,SEA,112,1,0,26,16,0,0,0,0,6,1,0,9.08
105,George Kittle,TE,SFO,0,0,0,0,0,3,6,19,0,0,0,0,4.9
